".pred_class","Age","Gender","Nscore","Escore","Oscore","Ascore","Nicotine","Cannabis"
"yes",1.09449,-0.48246,0.82562,-0.15487,0.44585,-0.15487,1,"yes"
"yes",-0.95197,-0.48246,0.73545,-1.7625,0.88309,-0.45321,1,"yes"
"yes",-0.95197,0.48246,-2.05048,-0.94779,0.14143,-0.01729,1,"yes"
"yes",-0.95197,-0.48246,1.02119,-0.94779,1.43533,-0.15487,1,"yes"
"yes",-0.95197,-0.48246,-0.14882,0.32197,0.58331,0.94156,1,"yes"
"yes",-0.07854,-0.48246,-1.69163,0.63779,0.58331,-0.01729,1,"yes"
"yes",-0.95197,-0.48246,-1.43907,-0.43999,0.88309,-0.45321,1,"yes"
"yes",-0.95197,-0.48246,-0.46725,-1.6334,0.44585,-1.07533,1,"yes"
"no",-0.07854,0.48246,0.31287,-0.57545,0.14143,0.59042,0,"no"
"yes",-0.95197,-0.48246,0.22393,-1.7625,0.44585,0.43852,0,"yes"
"yes",-0.95197,-0.48246,0.41667,1.58487,1.06238,0.43852,1,"yes"
"yes",-0.95197,-0.48246,1.23461,0.16767,0.58331,-0.30172,1,"yes"
"yes",-0.07854,-0.48246,1.13281,0.16767,-0.31776,0.43852,1,"yes"
"yes",0.49788,-0.48246,1.49158,-0.57545,0.88309,-1.6209,0,"no"
"yes",-0.95197,-0.48246,-1.55078,1.2861,1.43533,-0.60633,1,"yes"
"no",-0.95197,0.48246,-0.24649,-0.43999,-0.31776,-0.01729,0,"no"
"yes",-0.95197,-0.48246,-0.14882,0.47617,0.88309,-0.76096,1,"yes"
"yes",-0.95197,-0.48246,0.82562,0.32197,-0.58331,-0.01729,1,"yes"
"no",-0.07854,0.48246,0.62967,0.16767,0.14143,1.2861,0,"no"
"yes",-0.07854,-0.48246,1.37297,-1.23177,-0.58331,0.43852,0,"no"
"no",-0.07854,0.48246,1.02119,-0.69509,-0.31776,-0.76096,0,"no"
"no",-0.07854,0.48246,-0.14882,-0.30033,-1.27553,1.81866,0,"no"
"yes",-0.95197,-0.48246,-0.34799,0.80523,1.43533,0.59042,1,"yes"
"yes",1.09449,-0.48246,-0.05188,-0.94779,-0.01928,1.11406,1,"yes"
"no",1.82213,0.48246,-0.79151,-0.57545,0.29338,0.28783,1,"no"
"yes",-0.95197,-0.48246,1.23461,-0.43999,0.29338,0.43852,1,"yes"
"no",0.49788,0.48246,-0.46725,0.96248,0.7233,0.94156,0,"no"
"no",0.49788,0.48246,-0.67825,-0.43999,-1.11902,1.81866,0,"no"
"no",-0.07854,0.48246,-0.67825,0.96248,0.29338,1.11406,0,"no"
"no",-0.07854,0.48246,0.04257,0.63779,-1.11902,-0.60633,0,"no"
"yes",-0.07854,0.48246,-1.05308,1.11406,0.88309,-1.07533,1,"no"
"no",-0.07854,-0.48246,-2.75696,1.2861,-0.58331,0.76096,0,"no"
"yes",-0.95197,0.48246,-0.58016,0.32197,0.7233,-0.15487,1,"yes"
"no",-0.95197,0.48246,0.31287,0.00332,-0.01928,0.76096,0,"no"
"yes",-0.07854,0.48246,-0.24649,0.32197,0.88309,0.43852,1,"yes"
"no",1.09449,-0.48246,1.02119,-0.69509,-0.84732,-1.21213,0,"yes"
"yes",-0.95197,-0.48246,-0.92104,1.45421,1.65653,-0.01729,1,"yes"
"yes",-0.07854,0.48246,1.37297,0.32197,0.7233,0.94156,1,"no"
"no",1.09449,0.48246,1.60383,-2.32338,0.14143,-0.01729,0,"yes"
"yes",-0.07854,0.48246,-0.24649,0.47617,0.7233,1.61108,1,"yes"
"yes",0.49788,-0.48246,0.52135,-1.09207,-0.45174,0.13136,1,"no"
"no",-0.07854,0.48246,-0.05188,-0.30033,-1.27553,-0.01729,0,"no"
"yes",-0.95197,-0.48246,2.127,-0.94779,-0.45174,-0.30172,1,"yes"
"yes",-0.95197,-0.48246,0.91093,-3.27393,-0.45174,-1.47955,1,"yes"
"yes",1.09449,-0.48246,-1.05308,0.96248,0.44585,-0.01729,1,"no"
"yes",-0.07854,-0.48246,-0.46725,0.47617,1.43533,-0.30172,1,"yes"
"yes",-0.95197,-0.48246,-0.14882,-0.57545,-0.84732,-0.60633,1,"yes"
"yes",-0.07854,-0.48246,1.23461,-2.32338,0.29338,-0.30172,1,"no"
"yes",-0.95197,-0.48246,1.60383,-2.21069,1.24033,0.43852,1,"yes"
"yes",-0.95197,-0.48246,0.52135,1.2861,1.24033,-0.45321,1,"yes"
"yes",-0.95197,-0.48246,0.91093,0.00332,1.06238,-1.21213,1,"yes"
"yes",-0.95197,-0.48246,-1.55078,0.96248,1.65653,-0.01729,1,"yes"
"yes",-0.07854,-0.48246,0.04257,0.32197,-0.97631,0.28783,1,"yes"
"yes",0.49788,0.48246,0.31287,0.00332,-0.84732,-0.60633,1,"yes"
"no",-0.95197,0.48246,1.02119,-0.94779,0.88309,0.13136,0,"yes"
"no",-0.95197,0.48246,1.49158,0.16767,0.88309,-0.01729,0,"yes"
"no",-0.07854,0.48246,-0.67825,-0.94779,0.58331,0.28783,0,"no"
"no",-0.07854,0.48246,-0.46725,0.00332,-1.11902,0.28783,1,"no"
"yes",1.82213,0.48246,-1.86962,1.58487,0.44585,0.76096,1,"no"
"no",0.49788,-0.48246,0.73545,-1.50796,-0.84732,-0.15487,0,"yes"
"no",0.49788,-0.48246,-1.55078,0.80523,1.24033,1.81866,0,"no"
"no",-0.07854,0.48246,-1.05308,1.2861,-0.45174,-0.15487,0,"no"
"no",0.49788,0.48246,-0.24649,0.16767,-1.82919,-0.45321,0,"no"
"yes",0.49788,0.48246,0.73545,2.32338,0.14143,1.81866,1,"no"
"no",0.49788,-0.48246,-1.32828,2.127,-0.58331,-0.60633,0,"no"
"no",1.09449,0.48246,-2.05048,0.80523,-0.97631,2.75696,0,"no"
"no",0.49788,0.48246,-0.67825,0.32197,-0.97631,0.59042,0,"no"
"no",-0.07854,0.48246,-0.79151,1.2861,-1.82919,0.13136,0,"no"
"no",-0.07854,-0.48246,0.13606,0.63779,0.14143,-0.91699,0,"no"
"no",1.82213,0.48246,0.31287,0.47617,1.06238,-0.30172,0,"no"
"no",1.09449,-0.48246,-0.34799,1.93886,-0.01928,0.76096,0,"no"
"no",-0.07854,0.48246,-0.24649,2.127,-2.21069,-0.91699,0,"no"
"no",0.49788,0.48246,-0.79151,0.32197,-0.01928,-0.15487,0,"no"
"no",-0.07854,0.48246,-0.14882,-1.09207,-1.68062,0.94156,0,"no"
"no",1.09449,0.48246,0.22393,0.63779,-0.97631,0.76096,0,"no"
"no",0.49788,0.48246,0.13606,1.2861,-0.97631,0.43852,0,"no"
"no",1.82213,-0.48246,0.62967,-1.50796,-1.55521,0.76096,0,"no"
"yes",-0.07854,-0.48246,0.52135,0.00332,0.7233,0.59042,1,"no"
"no",0.49788,-0.48246,-1.55078,-0.15487,0.58331,0.43852,0,"no"
"no",1.09449,-0.48246,0.13606,-0.69509,-0.17779,-0.76096,1,"no"
"no",0.49788,-0.48246,-0.79151,0.47617,-0.01928,0.13136,0,"yes"
"yes",0.49788,0.48246,-2.21844,0.47617,-0.17779,2.75696,1,"no"
"no",-0.95197,0.48246,0.04257,-1.37639,-1.27553,-0.01729,0,"no"
"no",1.09449,0.48246,0.04257,0.63779,-1.68062,-1.07533,1,"no"
"yes",-0.95197,-0.48246,1.8399,-1.23177,0.14143,-1.47955,1,"yes"
"no",1.09449,0.48246,0.22393,-0.57545,-0.71727,0.28783,0,"no"
"no",1.09449,0.48246,1.02119,0.00332,-0.17779,0.94156,0,"no"
"no",-0.07854,0.48246,-0.14882,-0.30033,-0.84732,-0.30172,1,"no"
"no",1.82213,-0.48246,-1.69163,-1.23177,-0.84732,-1.47955,1,"no"
"yes",0.49788,0.48246,1.60383,0.16767,2.15324,-1.34289,1,"yes"
"no",-0.95197,0.48246,-0.67825,-0.15487,-0.31776,1.61108,0,"yes"
"no",-0.07854,0.48246,0.13606,-0.43999,-1.55521,-0.01729,0,"no"
"no",0.49788,0.48246,-1.1943,-0.57545,-0.71727,0.43852,0,"no"
"no",1.09449,-0.48246,0.62967,-0.80615,-1.82919,-1.07533,1,"no"
"no",1.82213,-0.48246,0.62967,-0.43999,1.24033,0.94156,0,"no"
"no",-0.07854,0.48246,-0.58016,0.16767,-0.58331,0.76096,0,"no"
"no",-0.07854,0.48246,2.28554,-2.11437,-0.97631,1.11406,0,"no"
"yes",0.49788,-0.48246,1.02119,-1.50796,-0.84732,-1.47955,1,"yes"
"yes",-0.07854,-0.48246,1.98437,-1.7625,0.14143,1.45039,1,"yes"
"yes",-0.95197,-0.48246,0.13606,-1.7625,-0.45174,0.28783,0,"yes"
"yes",1.82213,-0.48246,-1.1943,0.00332,0.7233,-1.21213,1,"no"
"no",-0.07854,0.48246,-0.58016,0.47617,-1.97495,0.28783,0,"no"
"no",-0.95197,-0.48246,-0.92104,0.32197,-1.42424,-0.60633,0,"no"
"yes",-0.07854,0.48246,0.04257,1.74091,0.58331,0.13136,1,"no"
"yes",0.49788,0.48246,-2.3436,1.74091,-0.01928,0.59042,1,"yes"
"no",1.09449,0.48246,-0.05188,-0.30033,-1.68062,1.2861,0,"no"
"no",0.49788,0.48246,0.41667,-0.80615,1.06238,0.76096,0,"no"
"no",1.09449,-0.48246,-1.1943,0.32197,-0.45174,-0.91699,0,"no"
"no",-0.07854,0.48246,0.04257,-0.43999,-0.01928,0.94156,0,"no"
"no",-0.07854,0.48246,-0.46725,0.16767,-2.63199,0.59042,0,"no"
"no",1.82213,-0.48246,-2.05048,-0.15487,-1.42424,0.59042,0,"no"
"no",1.09449,0.48246,-1.32828,0.16767,-0.58331,0.28783,0,"no"
"no",-0.95197,0.48246,-1.69163,0.32197,-1.82919,1.81866,1,"no"
"no",1.09449,-0.48246,-0.79151,-0.94779,-0.45174,-0.45321,0,"no"
"yes",-0.95197,-0.48246,-2.21844,0.96248,-0.01928,0.13136,1,"yes"
"no",1.09449,0.48246,-1.05308,0.80523,-0.58331,0.94156,0,"no"
"no",-0.07854,0.48246,0.22393,0.00332,-0.45174,0.28783,0,"no"
"yes",-0.07854,0.48246,-1.86962,0.96248,-0.97631,2.23427,1,"no"
"yes",-0.07854,0.48246,2.61139,-0.43999,-0.45174,-1.92595,1,"yes"
"no",-0.07854,0.48246,1.98437,0.63779,1.43533,-1.07533,0,"yes"
"no",-0.07854,0.48246,-0.14882,1.58487,-0.01928,0.13136,0,"no"
"yes",-0.95197,0.48246,1.02119,1.45421,2.44904,-0.45321,1,"yes"
"yes",-0.07854,0.48246,0.52135,1.93886,1.43533,-0.30172,1,"yes"
"no",0.49788,0.48246,-0.79151,0.47617,-1.11902,0.59042,0,"no"
"yes",-0.07854,-0.48246,-0.46725,0.96248,-0.01928,0.43852,1,"yes"
"yes",-0.95197,0.48246,0.82562,-0.43999,0.44585,0.43852,1,"yes"
"no",-0.95197,0.48246,1.37297,-0.69509,-2.09015,-1.34289,1,"yes"
"no",-0.07854,0.48246,-0.14882,-0.57545,-0.45174,0.43852,1,"yes"
"yes",-0.95197,-0.48246,-0.67825,3.27393,1.88511,-0.01729,1,"yes"
"no",0.49788,0.48246,0.73545,-0.57545,-2.09015,-0.76096,1,"yes"
"no",1.82213,-0.48246,-0.58016,1.74091,-1.97495,-1.07533,1,"no"
"yes",1.09449,-0.48246,2.28554,-1.23177,-0.01928,-2.5383,0,"no"
"yes",-0.95197,-0.48246,-0.79151,0.47617,1.43533,1.11406,1,"yes"
"yes",-0.95197,-0.48246,-0.14882,1.74091,1.06238,0.28783,1,"yes"
"yes",-0.95197,0.48246,0.13606,0.32197,-0.97631,1.61108,1,"yes"
"yes",-0.95197,0.48246,-0.05188,-1.23177,0.29338,1.11406,1,"yes"
"yes",-0.07854,0.48246,0.13606,0.63779,0.58331,-0.60633,1,"yes"
"yes",-0.95197,-0.48246,-0.79151,0.32197,1.88511,-1.07533,0,"yes"
"yes",-0.07854,-0.48246,-0.46725,-1.50796,-0.58331,-0.30172,0,"no"
"no",0.49788,0.48246,-0.34799,-1.09207,0.29338,-0.30172,0,"yes"
"no",-0.07854,-0.48246,-0.67825,0.63779,-0.45174,-0.45321,0,"yes"
"no",1.82213,0.48246,0.41667,0.63779,0.44585,1.45039,0,"no"
"yes",-0.95197,0.48246,1.60383,-0.94779,1.24033,-0.91699,1,"yes"
"yes",-0.95197,0.48246,0.62967,-0.94779,0.44585,0.59042,1,"yes"
"yes",-0.07854,0.48246,2.127,-1.37639,1.88511,0.76096,0,"no"
"yes",0.49788,-0.48246,-0.46725,-1.23177,-0.45174,0.43852,1,"no"
"yes",-0.95197,-0.48246,1.72012,0.32197,1.65653,-0.15487,1,"yes"
"yes",0.49788,-0.48246,-0.34799,0.00332,0.7233,0.28783,1,"yes"
"yes",-0.95197,0.48246,1.13281,-0.43999,0.29338,-0.76096,1,"yes"
"yes",-0.95197,-0.48246,-0.14882,1.11406,1.43533,-0.30172,1,"yes"
"no",-0.07854,0.48246,1.13281,-1.37639,-1.27553,-1.772,1,"yes"
